Date	News
Wednesday, 14 June 2023 01:47:23	Gold Price Forecast: XAU/USD bulls and bears go head to head in the build up to the Fed
Thursday, 15 June 2023 17:01:41	Gold Price Forecast: XAU/USD rebounds from a three-month low, bolstered by soft USD, falling bond yields
Thursday, 15 June 2023 15:49:39	Gold Price Forecast: XAU/USD could well rally on any data showing inflation pressures are easing – TDS
Thursday, 15 June 2023 12:30:08	Gold Price Forecast: XAU/USD remains under pressure after ECB, ahead of US data
Thursday, 15 June 2023 08:48:49	Gold Price Forecast: XAU/USD retreats from above $1,930 as Fed Powell confirms more rate hikes
Thursday, 15 June 2023 06:06:43	Gold Price Forecast: XAU/USD bears test $1,930 key support on hawkish Fed bets – Confluence Detector
Thursday, 15 June 2023 05:42:37	Gold Futures: A deeper pullback seems out of favour
Thursday, 15 June 2023 03:58:09	Gold Price Forecast: XAU/USD refreshes monthly low, seems vulnerable below 100-day SMA
Thursday, 15 June 2023 00:35:41	Gold Price Forecast: XAU/USD flirts with $1,940 support after Fed moves, US Retail Sales eyed
Monday, 19 June 2023 03:49:01	Gold Price Forecast: XAU/USD slides toward $1,950 as China woes join hawkish Fed clues
Monday, 19 June 2023 01:25:05	Gold Price Forecast: XAU/USD struggles for a firm direction, stuck in a range below $1,960
Monday, 19 June 2023 15:46:08	Gold Price Forecast: XAU/USD to do quite well in the months ahead – TDS
Monday, 19 June 2023 15:38:52	Gold Price Forecast: XAU/USD steady while US Dollar strengthens amidst closed US markets
Monday, 19 June 2023 10:14:14	Gold Price Forecast: XAU/USD declines towards $1,950 as USD Index recovers ahead of Blinken-Xi meet
Monday, 19 June 2023 06:11:19	Gold Price Forecast: XAU/USD ticks lower on modest US Dollar strength, downside seems limited
Monday, 19 June 2023 05:58:23	Gold Futures: Further range bound on the cards
Monday, 19 June 2023 03:49:01	Gold Price Forecast: XAU/USD slides toward $1,950 as China woes join hawkish Fed clues
Monday, 19 June 2023 01:25:05	Gold Price Forecast: XAU/USD struggles for a firm direction, stuck in a range below $1,960
Wednesday, 21 June 2023 06:35:42	Gold Price Forecast: XAU/USD bears concentrate on $1,925 break and Fed Chair Powell – Confluence Detector
Wednesday, 21 June 2023 05:18:55	Gold Futures: Further weakness likely near term
Wednesday, 21 June 2023 04:22:03	Gold Price Forecast: XAU/USD seems vulnerable below 100-day SMA, Fed’s Powell in focus
Wednesday, 21 June 2023 00:52:14	Gold Price Forecast: XAU/USD bears finally in town as Fed Chair Powell’s testimony looms
Thursday, 22 June 2023 08:31:47	Gold Price Forecast: XAU/USD seesaws around $1,930 due to hawkish Fed Powell vs. dovish Bostic
Thursday, 22 June 2023 05:27:55	Gold Futures: A sustained pullback seems out of favour
Thursday, 22 June 2023 04:58:15	Gold Price Forecast: XAU/USD prods $1,930 support ahead of multiple central bank news – Confluence Detector
Thursday, 22 June 2023 02:32:06	Gold Price Forecast: XAU/USD consolidates in a range, remains vulnerable below 100-day SMA
Monday, 03 July 2023 11:22:36	Gold seen above $2000/oz in H2 2023 – UOB
Monday, 03 July 2023 10:12:12	Gold Price Forecast: XAU/USD unlikely to enjoy big gains for a while yet – TDS
Monday, 03 July 2023 09:20:53	Gold Price Forecast: XAU/USD corrects to near $1,910 as US Manufacturing PMI comes into spotlight
Monday, 03 July 2023 06:10:43	Gold Futures: Further gains on the cards
Monday, 03 July 2023 05:50:31	Gold Price Forecast: XAU/USD portrays bearish consolidation below $1,930 hurdle – Confluence Detector
Monday, 03 July 2023 02:45:32	Gold Price Forecast: XAU/USD dips back closer to $1,915 on modest US Dollar uptick
Tuesday, 04 July 2023 06:17:19	Gold Futures: Extra gains in store near term
Tuesday, 04 July 2023 05:28:23	Gold Price Forecast: XAU/USD bulls eye $1,930 on economic slowdown, US-China jitters amid US holiday
Tuesday, 04 July 2023 02:14:13	Gold Price Forecast: XAU/USD lacks firm intraday direction, holds steady around $1,920
